================ Training Loss (Mon Mar 10 16:41:22 2025) ================
(epoch: 30, iters: 150, time: 0.079, data: 0.002) D_A: 0.228 G_A: 0.436 cycle_A: 0.611 idt_A: 0.699 D_B: 0.236 G_B: 0.312 cycle_B: 1.548 idt_B: 0.267 
(epoch: 31, iters: 100, time: 0.080, data: 0.244) D_A: 0.231 G_A: 0.314 cycle_A: 1.582 idt_A: 0.570 D_B: 0.238 G_B: 0.247 cycle_B: 1.014 idt_B: 0.832 
(epoch: 32, iters: 50, time: 0.080, data: 0.002) D_A: 0.252 G_A: 0.279 cycle_A: 0.859 idt_A: 0.898 D_B: 0.256 G_B: 0.223 cycle_B: 1.572 idt_B: 0.402 
(epoch: 32, iters: 150, time: 0.536, data: 0.002) D_A: 0.186 G_A: 0.268 cycle_A: 0.685 idt_A: 0.402 D_B: 0.288 G_B: 0.150 cycle_B: 0.910 idt_B: 0.363 
(epoch: 33, iters: 100, time: 0.080, data: 0.241) D_A: 0.156 G_A: 0.210 cycle_A: 0.850 idt_A: 0.390 D_B: 0.276 G_B: 0.224 cycle_B: 1.013 idt_B: 0.393 
(epoch: 34, iters: 50, time: 0.080, data: 0.001) D_A: 0.293 G_A: 0.309 cycle_A: 0.733 idt_A: 0.612 D_B: 0.226 G_B: 0.394 cycle_B: 1.329 idt_B: 0.349 
(epoch: 34, iters: 150, time: 0.080, data: 0.002) D_A: 0.334 G_A: 0.105 cycle_A: 0.726 idt_A: 0.563 D_B: 0.228 G_B: 0.306 cycle_B: 1.044 idt_B: 0.327 
(epoch: 35, iters: 100, time: 0.561, data: 0.246) D_A: 0.352 G_A: 0.339 cycle_A: 1.372 idt_A: 0.480 D_B: 0.250 G_B: 0.226 cycle_B: 1.302 idt_B: 0.640 
(epoch: 36, iters: 50, time: 0.073, data: 0.002) D_A: 0.169 G_A: 0.363 cycle_A: 0.822 idt_A: 0.355 D_B: 0.185 G_B: 0.633 cycle_B: 0.783 idt_B: 0.332 
(epoch: 36, iters: 150, time: 0.080, data: 0.001) D_A: 0.236 G_A: 0.219 cycle_A: 0.965 idt_A: 0.463 D_B: 0.259 G_B: 0.164 cycle_B: 0.961 idt_B: 0.516 
(epoch: 37, iters: 100, time: 0.080, data: 0.243) D_A: 0.332 G_A: 0.261 cycle_A: 1.331 idt_A: 0.601 D_B: 0.474 G_B: 0.283 cycle_B: 1.410 idt_B: 0.593 
(epoch: 38, iters: 50, time: 0.544, data: 0.002) D_A: 0.257 G_A: 0.203 cycle_A: 1.371 idt_A: 0.340 D_B: 0.205 G_B: 0.212 cycle_B: 0.795 idt_B: 0.577 
(epoch: 38, iters: 150, time: 0.080, data: 0.002) D_A: 0.279 G_A: 0.430 cycle_A: 0.885 idt_A: 0.392 D_B: 0.213 G_B: 0.388 cycle_B: 0.886 idt_B: 0.322 
(epoch: 39, iters: 100, time: 0.080, data: 0.245) D_A: 0.270 G_A: 0.295 cycle_A: 1.003 idt_A: 0.486 D_B: 0.246 G_B: 0.242 cycle_B: 1.242 idt_B: 0.501 
(epoch: 40, iters: 50, time: 0.080, data: 0.002) D_A: 0.228 G_A: 0.170 cycle_A: 0.803 idt_A: 0.518 D_B: 0.217 G_B: 0.074 cycle_B: 1.182 idt_B: 0.382 
(epoch: 40, iters: 150, time: 0.593, data: 0.001) D_A: 0.154 G_A: 0.310 cycle_A: 0.651 idt_A: 0.434 D_B: 0.259 G_B: 0.542 cycle_B: 1.357 idt_B: 0.301 
(epoch: 41, iters: 100, time: 0.080, data: 0.242) D_A: 0.207 G_A: 0.373 cycle_A: 0.605 idt_A: 0.600 D_B: 0.248 G_B: 0.254 cycle_B: 1.185 idt_B: 0.299 
(epoch: 42, iters: 50, time: 0.081, data: 0.002) D_A: 0.281 G_A: 0.157 cycle_A: 0.647 idt_A: 0.331 D_B: 0.447 G_B: 0.671 cycle_B: 0.782 idt_B: 0.312 
(epoch: 42, iters: 150, time: 0.080, data: 0.002) D_A: 0.244 G_A: 0.388 cycle_A: 0.992 idt_A: 0.396 D_B: 0.214 G_B: 0.261 cycle_B: 0.835 idt_B: 0.443 
(epoch: 43, iters: 100, time: 0.593, data: 0.242) D_A: 0.283 G_A: 0.312 cycle_A: 1.261 idt_A: 0.417 D_B: 0.242 G_B: 0.130 cycle_B: 1.084 idt_B: 0.627 
(epoch: 44, iters: 50, time: 0.080, data: 0.001) D_A: 0.554 G_A: 0.093 cycle_A: 1.021 idt_A: 0.381 D_B: 0.258 G_B: 0.128 cycle_B: 1.010 idt_B: 0.523 
(epoch: 44, iters: 150, time: 0.080, data: 0.002) D_A: 0.079 G_A: 0.239 cycle_A: 0.904 idt_A: 0.388 D_B: 0.182 G_B: 0.303 cycle_B: 0.889 idt_B: 0.500 
(epoch: 45, iters: 100, time: 0.080, data: 0.236) D_A: 0.186 G_A: 0.442 cycle_A: 0.657 idt_A: 0.343 D_B: 0.184 G_B: 0.519 cycle_B: 0.681 idt_B: 0.282 
